company_id,year,state,industry,size_category,employees,revenue_m_usd,tech_invest_pct,tech_invest_usd,tech_emp_pct,years_in_business,founded_year,cloud_adopted,has_data_strategy,ceo_tech_background,digital_maturity,ai_adopted,ai_tools_count,ai_investment_usd,productivity_gain_pct,revenue_growth_pct,primary_barrier,revenue_per_employee,ai_investment_per_employee,tech_invest_k_usd,size_num,region,post_chatgpt,ai_readiness_score,industry_enc,state_enc,region_enc,size_category_enc,primary_barrier_enc,cluster_id,cluster_name
SME_00001,2022,North Carolina,Hospitality & Food,Micro (1-9),3,0.05,0.0185,925.0,0.0468,23,1999,1,0,0,2.95,0,0,0.0,0.0,8.96,Lack of expertise,16666.666666666668,0.0,0.925,1,Southeast,0,0.38965,5,19,2,1,2,1.0,Traditional SMEs
SME_00002,2022,California,Agriculture,Upper-Mid (250-500),112,5.968500000000001,0.0526,736499.0,0.1613,32,1990,1,0,1,4.64,0,0,0.0,0.0,9.47,Data quality,53290.17857142858,0.0,736.499,4,West,0,0.54875,0,3,4,3,1,2.0,AI Pioneers
SME_00003,2021,North Carolina,Education,Medium (50-249),84,1.318,0.0581,76504.0,0.0485,34,1987,1,1,1,5.34,0,0,0.0,0.0,-7.94,Security concerns,15690.47619047619,0.0,76.504,3,Southeast,0,0.7216,2,19,2,0,4,0.0,Cost-Conscious Adopters
SME_00004,2024,Ohio,Finance & Insurance,Small (10-49),34,3.176,0.0088,27835.0,0.1255,20,2004,1,0,0,4.08,1,7,14164.0,21.07,21.96,,93411.76470588236,416.5882352941176,27.835,2,Midwest,1,0.44835,3,20,0,2,6,1.0,Traditional SMEs
SME_00005,2020,Iowa,Education,Micro (1-9),1,0.05,0.0258,1288.0,0.1335,14,2006,1,1,0,4.41,0,0,0.0,0.0,7.14,Lack of expertise,50000.0,0.0,1.288,1,Midwest,0,0.68775,2,9,0,1,2,3.0,Digital Explorers
SME_00006,2020,California,Healthcare & Biotech,Small (10-49),41,1.487,0.0481,71590.0,0.1551,45,1975,0,0,0,7.43,1,5,25104.0,24.59,21.39,,36268.29268292683,612.2926829268292,71.59,2,West,0,0.3726,4,3,4,2,6,1.0,Traditional SMEs
SME_00007,2024,Texas,Agriculture,Micro (1-9),1,0.05,0.0131,657.0,0.0474,13,2011,0,0,0,2.96,0,0,0.0,0.0,31.34,Data quality,50000.0,0.0,0.657,1,Southwest,1,0.13215,0,25,3,1,1,1.0,Traditional SMEs
SME_00008,2024,Michigan,Education,Micro (1-9),1,0.05,0.0363,1816.0,0.0806,38,1986,1,0,0,5.6,1,6,4863.0,20.65,27.91,,50000.0,4863.0,1.816,1,Midwest,1,0.51275,2,12,0,1,6,1.0,Traditional SMEs
SME_00009,2023,Washington,Technology & Software,Small (10-49),25,1.115,0.0314,35043.0,0.0243,43,1980,1,0,1,5.66,1,4,19877.0,30.94,32.27,,44600.0,795.08,35.043,2,West,1,0.47905,9,27,4,2,6,0.0,Cost-Conscious Adopters
SME_00010,2024,Colorado,Healthcare & Biotech,Micro (1-9),9,0.187,0.0332,6203.0,0.126,44,1980,0,0,0,6.18,1,1,14139.0,13.06,19.33,,20777.777777777777,1571.0,6.203,1,West,1,0.2982,4,4,4,1,6,1.0,Traditional SMEs
SME_00011,2023,Indiana,Construction,Micro (1-9),2,0.05,0.0203,1013.0,0.0838,51,1972,1,1,0,2.22,0,0,0.0,0.0,24.12,Cost,25000.0,0.0,1.013,1,Midwest,1,0.58895,1,8,0,1,0,3.0,Digital Explorers
SME_00012,2023,Georgia,Finance & Insurance,Small (10-49),42,4.646,0.0251,116485.0,0.0502,23,2000,0,1,0,5.25,0,0,0.0,0.0,6.51,Security concerns,110619.04761904762,0.0,116.485,2,Southeast,1,0.42025,3,6,2,2,4,3.0,Digital Explorers
SME_00013,2022,Minnesota,Professional Services,Small (10-49),33,1.739,0.0211,36618.0,0.0375,44,1978,1,1,0,3.32,0,0,0.0,0.0,18.59,Security concerns,52696.969696969696,0.0,36.618,2,Midwest,0,0.6,7,13,0,2,4,3.0,Digital Explorers
SME_00014,2024,California,Agriculture,Small (10-49),29,1.418,0.0583,82641.0,0.1205,32,1992,1,1,0,3.67,0,0,0.0,0.0,-1.27,Data quality,48896.55172413793,0.0,82.641,2,West,1,0.7078000000000001,0,3,4,2,1,3.0,Digital Explorers
SME_00015,2019,Florida,Professional Services,Small (10-49),46,4.223,0.0428,180819.0,0.1377,3,2016,0,0,0,2.99,0,0,0.0,0.0,8.55,Regulatory,91804.34782608696,0.0,180.819,2,Southeast,0,0.22275,7,5,2,2,3,1.0,Traditional SMEs
SME_00016,2022,Arizona,Healthcare & Biotech,Micro (1-9),5,0.844,0.022,18591.0,0.0189,50,1972,1,0,0,5.95,1,1,6159.0,27.34,41.67,,168800.0,1231.8,18.591,1,Southwest,0,0.47095,4,1,3,1,6,1.0,Traditional SMEs
SME_00017,2019,Texas,Manufacturing,Micro (1-9),4,0.511,0.0399,20392.0,0.0638,40,1979,0,0,1,3.81,0,0,0.0,0.0,4.11,Cost,127750.0,0.0,20.392,1,Southwest,0,0.20605,6,25,3,1,0,0.0,Cost-Conscious Adopters
SME_00018,2019,Pennsylvania,Retail & E-commerce,Micro (1-9),1,0.101,0.005,503.0,0.0776,15,2004,0,0,0,3.05,1,2,2928.0,15.06,5.98,,101000.0,2928.0,0.503,1,Northeast,0,0.1378,8,22,1,1,6,1.0,Traditional SMEs
SME_00019,2023,Colorado,Finance & Insurance,Small (10-49),20,1.889,0.051,96258.0,0.074,5,2018,1,1,1,6.17,1,1,29926.25,33.5,10.67,,94450.0,1496.3125,96.258,2,West,1,0.7486,3,4,4,2,6,0.0,Cost-Conscious Adopters
SME_00020,2024,Minnesota,Technology & Software,Small (10-49),44,4.045,0.0409,165337.0,0.1448,8,2016,1,1,0,8.83,1,4,29926.25,25.0,13.1,,91931.81818181818,680.1420454545455,165.337,2,Midwest,1,0.8486499999999999,9,13,0,2,6,2.0,AI Pioneers
SME_00021,2023,Missouri,Manufacturing,Medium (50-249),106,5.968500000000001,0.0584,1543844.0,0.1379,49,1974,1,1,0,8.18,1,6,29926.25,31.63,24.2,,56306.60377358492,282.3231132075472,1543.844,3,Midwest,1,0.85195,6,15,0,0,6,2.0,AI Pioneers
SME_00022,2024,Mississippi,Professional Services,Upper-Mid (250-500),112,5.894,0.0863,508712.0,0.1432,42,1982,1,1,0,5.0,1,7,29926.25,30.72,16.99,,52625.0,267.1986607142857,508.712,4,Southeast,1,0.80105,7,14,2,3,6,2.0,AI Pioneers
SME_00023,2023,Missouri,Construction,Small (10-49),37,1.594,0.0477,76106.0,0.1453,43,1980,1,1,0,5.64,0,0,0.0,0.0,8.84,Data quality,43081.08108108108,0.0,76.106,2,Midwest,1,0.7634,1,15,0,2,1,3.0,Digital Explorers
