company_id,year,state,industry,size_category,employees,revenue_m_usd,tech_invest_pct,tech_invest_usd,tech_emp_pct,years_in_business,founded_year,cloud_adopted,has_data_strategy,ceo_tech_background,digital_maturity,ai_adopted,ai_tools_count,ai_investment_usd,productivity_gain_pct,revenue_growth_pct,primary_barrier
SME_00001,2022,North Carolina,Hospitality & Food,Micro (1-9),3,0.05,0.0185,925.0,0.0468,23,1999,1,0,0,2.95,0,0,0.0,0.0,8.96,Lack of expertise
SME_00002,2022,California,Agriculture,Upper-Mid (250-500),264,13.994,0.0526,736499.0,0.1613,32,1990,1,0,1,4.64,0,0,0.0,0.0,9.47,Data quality
SME_00003,2021,North Carolina,Education,Medium (50-249),84,1.318,0.0581,76504.0,0.0485,34,1987,1,1,1,5.34,0,0,0.0,0.0,-7.94,Security concerns
SME_00004,2024,Ohio,Finance & Insurance,Small (10-49),34,3.176,0.0088,27835.0,0.1255,20,2004,1,0,0,4.08,1,7,14164.0,21.07,21.96,None
SME_00005,2020,Iowa,Education,Micro (1-9),1,0.05,0.0258,1288.0,0.1335,14,2006,1,1,0,4.41,0,0,0.0,0.0,7.14,Lack of expertise
SME_00006,2020,California,Healthcare & Biotech,Small (10-49),41,1.487,0.0481,71590.0,0.1551,45,1975,0,0,0,7.43,1,5,25104.0,24.59,21.39,None
SME_00007,2024,Texas,Agriculture,Micro (1-9),1,0.05,0.0131,657.0,0.0474,13,2011,0,0,0,2.96,0,0,0.0,0.0,31.34,Data quality
SME_00008,2024,Michigan,Education,Micro (1-9),1,0.05,0.0363,1816.0,0.0806,38,1986,1,0,0,5.6,1,6,4863.0,20.65,27.91,None
SME_00009,2023,Washington,Technology & Software,Small (10-49),25,1.115,0.0314,35043.0,0.0243,43,1980,1,0,1,5.66,1,4,19877.0,30.94,32.27,None
SME_00010,2024,Colorado,Healthcare & Biotech,Micro (1-9),9,0.187,0.0332,6203.0,0.126,44,1980,0,0,0,6.18,1,1,14139.0,13.06,19.33,None
SME_00011,2023,Indiana,Construction,Micro (1-9),2,0.05,0.0203,1013.0,0.0838,51,1972,1,1,0,2.22,0,0,0.0,0.0,24.12,Cost
SME_00012,2023,Georgia,Finance & Insurance,Small (10-49),42,4.646,0.0251,116485.0,0.0502,23,2000,0,1,0,5.25,0,0,0.0,0.0,6.51,Security concerns
SME_00013,2022,Minnesota,Professional Services,Small (10-49),33,1.739,0.0211,36618.0,0.0375,44,1978,1,1,0,3.32,0,0,0.0,0.0,18.59,Security concerns
SME_00014,2024,California,Agriculture,Small (10-49),29,1.418,0.0583,82641.0,0.1205,32,1992,1,1,0,3.67,0,0,0.0,0.0,-1.27,Data quality
SME_00015,2019,Florida,Professional Services,Small (10-49),46,4.223,0.0428,180819.0,0.1377,3,2016,0,0,0,2.99,0,0,0.0,0.0,8.55,Regulatory
SME_00016,2022,Arizona,Healthcare & Biotech,Micro (1-9),5,0.844,0.022,18591.0,0.0189,50,1972,1,0,0,5.95,1,1,6159.0,27.34,41.67,None
SME_00017,2019,Texas,Manufacturing,Micro (1-9),4,0.511,0.0399,20392.0,0.0638,40,1979,0,0,1,3.81,0,0,0.0,0.0,4.11,Cost
SME_00018,2019,Pennsylvania,Retail & E-commerce,Micro (1-9),1,0.101,0.005,503.0,0.0776,15,2004,0,0,0,3.05,1,2,2928.0,15.06,5.98,None
SME_00019,2023,Colorado,Finance & Insurance,Small (10-49),20,1.889,0.051,96258.0,0.074,5,2018,1,1,1,6.17,1,1,168678.0,33.5,10.67,None
SME_00020,2024,Minnesota,Technology & Software,Small (10-49),44,4.045,0.0409,165337.0,0.1448,8,2016,1,1,0,8.83,1,4,110693.0,25.0,13.1,None
